cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,277,1,31856346.24,100000006866783100 100000005910114100 100000004400305100 100000000437046100 100000002957787100,признаки управляемой ветки: 9 координирующих узлов и 9 точек консолидации; 1 seed-клиент; внутренний оборот 75.9 млн KZT
1,270,1,10178044.0,100000002578405100 100000002527114100 100000001697501100 100000001166289100 100000003942602100,признаки веерной раздачи: 3 распределителя на 270 узлов; 1 seed-клиент; внутренний оборот 20.4 млн KZT
2,148,5,19555090.0,100000003684369100 100000008165763100 100000005830339100 100000003249054100 100000008304139100,признаки управляемой ветки: 2 координирующих узла и 2 точки консолидации; 5 seed-клиентов; внутренний оборот 47.9 млн KZT
3,126,0,16339904.0,100000008603629100 100000001857829100 100000003880331100 100000002723538100 100000006977207100,признаки веерной раздачи: 3 распределителя на 126 узлов; без seed-клиентов; внутренний оборот 39.6 млн KZT
4,126,0,24907250.33,100000000331309100 100000000332284100 100000003741418100 100000008560717100 100000008244300100,признаки управляемой ветки: 1 координирующий узел и 4 точки консолидации; без seed-клиентов; внутренний оборот 59.5 млн KZT
5,125,7,18300397.28,100000003016635100 100000004188160100 100000008144528100 100000001530983100 100000004150593100,признаки управляемой ветки: 2 координирующих узла и 1 точка консолидации; 7 seed-клиентов; внутренний оборот 38.8 млн KZT
6,106,4,16242879.02,100000004015047100 100000002894076100 100000007747786100 100000008748408100 100000005514161100,признаки схемы сбор-раздача: 1 сборщик и 2 распределителя; 4 seed-клиента; внутренний оборот 35.5 млн KZT
7,104,1,21747439.59,100000002718366100 100000002838861100 100000008547948100 100000008489922100 100000008710791100,признаки схемы сбор-раздача: 2 сборщика и 7 распределителей; 1 seed-клиент; внутренний оборот 49.5 млн KZT
8,61,0,4350466.67,100000005704413100 100000004569484100 100000008104567100 100000005578559100 100000005473151100,признаки веерной раздачи: 1 распределитель на 61 узел; без seed-клиентов; внутренний оборот 9.5 млн KZT
9,59,1,6772097.0,100000003115284100 100000008730846100 100000007998965100 100000000343175100 100000003360542100,признаки схемы сбор-раздача: 3 сборщика и 2 распределителя; 1 seed-клиент; внутренний оборот 16.5 млн KZT
10,56,3,13397542.0,100000001253557100 100000002547110100 100000008547844100 100000008465789100 100000008466579100,признаки схемы сбор-раздача: 2 сборщика и 3 распределителя; 3 seed-клиента; внутренний оборот 29.5 млн KZT
11,55,1,3064863.0,100000008636603100 100000003265158100 100000002679516100 100000002193259100 100000008680731100,признаки веерной раздачи: 1 распределитель на 55 узлов; 1 seed-клиент; внутренний оборот 6.6 млн KZT
12,51,0,13990812.0,100000001282143100 100000008512827100 100000008742053100 100000005242320100 100000002956769100,признаки схемы сбор-раздача: 1 сборщик и 3 распределителя; без seed-клиентов; внутренний оборот 30.9 млн KZT
13,50,3,4135421.0,100000008346837100 100000008003034100 100000005074393100 100000003270419100 100000005882013100,признаки транзитной цепочки: 5 узлов пропускают средства дальше; 3 seed-клиента; внутренний оборот 9.4 млн KZT
14,44,0,10215968.84,100000005933757100 100000002605308100 100000001904863100 100000004905207100 100000001937767100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 21.2 млн KZT"
15,41,0,5151924.19,100000003242289100 100000008413748100 100000006225798100 100000003964910100 100000008221543100,признаки веерной раздачи: 2 распределителя на 41 узел; без seed-клиентов; внутренний оборот 11.9 млн KZT
16,41,3,4888834.28,100000004156082100 100000004820260100 100000002575080100 100000007131370100 100000003221384100,признаки транзитной цепочки: 3 узла пропускают средства дальше; 3 seed-клиента; внутренний оборот 10.3 млн KZT
17,30,1,6513430.0,100000007594394100 100000008546855100 100000003854444100 100000006274203100 100000008582730100,признаки схемы сбор-раздача: 2 сборщика и 1 распределитель; 1 seed-клиент; внутренний оборот 13.6 млн KZT
18,30,0,8045494.0,100000001303311100 100000008710843100 100000008743913100 100000007229557100 100000001714173100,признаки схемы сбор-раздача: 1 сборщик и 2 распределителя; без seed-клиентов; внутренний оборот 18.2 млн KZT
19,29,0,446070.0,100000008460102100 100000001164648100 100000004891562100 100000002706810100 100000002670463100,признаки веерной раздачи: 1 распределитель на 29 узлов; без seed-клиентов; внутренний оборот 0.9 млн KZT
20,26,14,2289450.0,100000005382566100 100000004403675100 100000005523088100 100000008516839100 100000004041163100,признаки управляемой ветки: 1 координирующий узел и 1 точка консолидации; 14 seed-клиентов; внутренний оборот 4.9 млн KZT
21,20,0,617900.0,100000002448088100 100000003154105100 100000000723383100 100000001427082100 100000002185328100,признаки транзитной цепочки: 1 узел пропускают средства дальше; без seed-клиентов; внутренний оборот 1.3 млн KZT
22,18,0,3422800.0,100000003718221100 100000003104347100 100000003824464100 100000001822623100 100000008238989100,признаки транзитной цепочки: 1 узел пропускают средства дальше; без seed-клиентов; внутренний оборот 7.2 млн KZT
23,17,1,2977887.0,100000004160650100 100000004005964100 100000004144536100 100000002257794100 100000003275398100,признаки веерной раздачи: 1 распределитель на 17 узлов; 1 seed-клиент; внутренний оборот 6.0 млн KZT
24,17,1,21586840.0,100000002224132100 100000004603109100 100000004892144100 100000000594783100 100000000552584100,"выраженной структуры не выявлено, преимущественно периферия; 1 seed-клиент; внутренний оборот 43.2 млн KZT"
25,15,0,3436955.0,100000003111305100 100000005171642100 100000006664478100 100000002459093100 100000001985793100,признаки транзитной цепочки: 2 узла пропускают средства дальше; без seed-клиентов; внутренний оборот 7.6 млн KZT
26,15,0,850450.0,100000002472632100 100000002984403100 100000002708624100 100000004445291100 100000001526235100,признаки транзитной цепочки: 1 узел пропускают средства дальше; без seed-клиентов; внутренний оборот 1.7 млн KZT
27,15,0,3626010.0,100000006704530100 100000003122817100 100000002691583100 100000001819396100 100000000408846100,признаки транзитной цепочки: 1 узел пропускают средства дальше; без seed-клиентов; внутренний оборот 7.3 млн KZT
28,14,0,1605604.0,100000006965162100 100000008708025100 100000008213966100 100000000838385100 100000007382543100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 3.2 млн KZT"
29,13,1,1392916.0,100000003164661100 100000005077484100 100000004463277100 100000004192865100 100000003617552100,"выраженной структуры не выявлено, преимущественно периферия; 1 seed-клиент; внутренний оборот 2.8 млн KZT"
30,13,0,6748650.0,100000000673868100 100000000821507100 100000002911170100 100000006567935100 100000001961048100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 14.0 млн KZT"
31,11,0,3784703.0,100000002975437100 100000002710570100 100000002212494100 100000003594472100 100000002175422100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 7.6 млн KZT"
32,10,0,603900.0,100000003635170100 100000008501413100 100000003321423100 100000007737775100 100000002696152100,признаки транзитной цепочки: 2 узла пропускают средства дальше; без seed-клиентов; внутренний оборот 1.2 млн KZT
33,10,0,322010.0,100000007322059100 100000000993112100 100000002691858100 100000002628146100 100000002558173100,признаки транзитной цепочки: 1 узел пропускают средства дальше; без seed-клиентов; внутренний оборот 0.7 млн KZT
34,10,0,1727065.0,100000005519998100 100000004336312100 100000003219438100 100000005932987100 100000004017410100,признаки транзитной цепочки: 2 узла пропускают средства дальше; без seed-клиентов; внутренний оборот 3.5 млн KZT
35,9,0,1406982.0,100000007647294100 100000000954884100 100000003006633100 100000000783406100 100000002184107100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 2.9 млн KZT"
36,8,0,389000.0,100000005507142100 100000001825934100 100000002612809100 100000005264874100 100000002214207100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 0.8 млн KZT"
37,8,0,2473417.91,100000004906181100 100000008175078100 100000008675322100 100000000557536100 100000008349740100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 5.0 млн KZT"
38,7,0,1268308.0,100000005754335100 100000003888527100 100000006573438100 100000008011159100 100000006169033100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 2.6 млн KZT"
39,7,0,1765600.0,100000007392365100 100000007865484100 100000008551752100 100000003631015100 100000004976946100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 3.5 млн KZT"
40,7,0,143000.0,100000003962994100 100000005127767100 100000005911352100 100000004508696100 100000000507799100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 0.3 млн KZT"
41,7,0,3077000.0,100000002241986100 100000001053894100 100000002594214100 100000004047887100 100000004070530100,"выраженной структуры не выявлено, преимущественно периферия; без seed-клиентов; внутренний оборот 6.4 млн KZT"
